sentence,class
Kindly provide me with a list of all currently active medications.,find_all_active_medications
I request that you furnish me with a complete record of all medications that are currently active.,find_all_active_medications
Please compile a comprehensive list of all active medications.,find_all_active_medications
May I request a document containing all active medications?,find_all_active_medications
"I would like to obtain a list of all currently active medications, please.",find_all_active_medications
Please be so kind as to prepare a complete list of all medications that are currently active.,find_all_active_medications
I humbly request that you provide me with a record of all medications that are currently active.,find_all_active_medications
Could you please gather all active medications and provide me with a detailed list?,find_all_active_medications
"In order to ensure accuracy, could you please supply me with a list of all active medications?",find_all_active_medications
I would appreciate it if you could provide me with a list of all active medications.,find_all_active_medications
Can you please generate a comprehensive list of all medications that are currently active?,find_all_active_medications
Kindly assist me in finding all currently active medications.,find_all_active_medications
It would be greatly appreciated if you could provide me with a list of all active medications.,find_all_active_medications
May I kindly ask for a list of all active medications?,find_all_active_medications
Please provide me with a complete list of all medications that are currently active.,find_all_active_medications
I would be grateful if you could prepare a document containing all currently active medications.,find_all_active_medications
I kindly request that you gather all active medications and present me with a list.,find_all_active_medications
Can you please provide me with a list of all medications that are currently active?,find_all_active_medications
"I am in need of a complete list of all active medications, could you kindly provide me with one?",find_all_active_medications
Would it be possible for you to generate a detailed list of all active medications?,find_all_active_medications
Could you please compile a comprehensive list of all medications that are currently active?,find_all_active_medications
Please be so kind as to prepare a document containing all active medications.,find_all_active_medications
I respectfully request that you provide me with a list of all medications that are currently active.,find_all_active_medications
May I request a comprehensive list of all active medications?,find_all_active_medications
"In order to ensure accuracy, could you please provide me with a list of all medications that are currently active?",find_all_active_medications
I would appreciate it if you could prepare a detailed list of all currently active medications.,find_all_active_medications
Can you please furnish me with a complete list of all medications that are currently active?,find_all_active_medications
Kindly provide me with a list of all medications that are currently active.,find_all_active_medications
Please generate a complete list of all active medications.,find_all_active_medications
I kindly request that you supply me with a list of all medications that are currently active.,find_all_active_medications
Would it be possible for you to compile a detailed list of all active medications?,find_all_active_medications
I would be grateful if you could provide me with a comprehensive list of all medications that are currently active.,find_all_active_medications
May I please have a list of all active medications?,find_all_active_medications
Kindly assist me in finding all medications that are currently active.,find_all_active_medications
Could you please provide me with a list of all currently active medications?,find_all_active_medications
Please prepare a detailed list of all medications that are currently active.,find_all_active_medications
I respectfully request that you gather all active medications and provide me with a list.,find_all_active_medications
"In order to ensure accuracy, could you please generate a complete list of all medications that are currently active?",find_all_active_medications
I would appreciate it if you could prepare a list of all active medications.,find_all_active_medications
Can you please supply me with a list of all medications that are currently active?,find_all_active_medications
Kindly provide me with a comprehensive list of all active medications.,find_all_active_medications
Please compile a detailed list of all medications that are currently active.,find_all_active_medications
May I request a document containing all medications that are currently active?,find_all_active_medications
Could you kindly provide me with a list of all medications that are currently active?,find_all_active_medications
I would like to request a complete record of all medications that are currently active.,find_all_active_medications
"Please furnish me with a list of all active medications, if you could be so kind.",find_all_active_medications
Could you please assist me in finding a comprehensive list of all active medications?,find_all_active_medications
I respectfully request that you generate a list of all medications that are currently active.,find_all_active_medications
May I kindly ask for a detailed list of all active medications?,find_all_active_medications
"Please provide me with a complete list of all currently active medications, if possible.",find_all_active_medications
Could you please prepare a comprehensive document containing all active medications?,find_all_active_medications
I would be grateful if you could furnish me with a complete list of all medications that are currently active.,find_all_active_medications
Please be so kind as to provide me with a list of all active medications.,find_all_active_medications
Kindly generate a complete list of all medications that are currently active.,find_all_active_medications
May I request a detailed document containing all active medications?,find_all_active_medications
Could you please compile a comprehensive list of all medications that are currently active?,find_all_active_medications
I humbly request that you provide me with a complete record of all active medications.,find_all_active_medications
Please assist me in finding a list of all medications that are currently active.,find_all_active_medications
May I kindly ask for a document that contains all currently active medications?,find_all_active_medications
Could you please furnish me with a comprehensive list of all medications that are currently active?,find_all_active_medications
I would appreciate it if you could provide me with a complete list of all active medications.,find_all_active_medications
Please prepare a document that contains all currently active medications.,find_all_active_medications
Kindly assist me in finding a comprehensive list of all medications that are currently active.,find_all_active_medications
"Could you please generate a list of all active medications, if possible?",find_all_active_medications
I respectfully request that you compile a complete list of all medications that are currently active.,find_all_active_medications
May I request a detailed list of all currently active medications?,find_all_active_medications
Please provide me with a comprehensive document that contains all active medications.,find_all_active_medications
Could you kindly furnish me with a list of all medications that are currently active?,find_all_active_medications
"I would like to request a complete list of all active medications, if possible.",find_all_active_medications
"Please prepare a comprehensive list of all medications that are currently active, if you could be so kind.",find_all_active_medications
"Kindly assist me in finding all active medications, if you could.",find_all_active_medications
Could you please provide me with a detailed list of all medications that are currently active?,find_all_active_medications
I would be grateful if you could generate a list of all medications that are currently active.,find_all_active_medications
May I request a document that contains a complete list of all active medications?,find_all_active_medications
"Please furnish me with a comprehensive list of all currently active medications, if you could.",find_all_active_medications
Could you please prepare a detailed document that contains all medications that are currently active?,find_all_active_medications
I kindly request that you provide me with a complete list of all medications that are currently active.,find_all_active_medications
"May I ask for a document that contains all active medications, if you could be so kind?",find_all_active_medications
Please be so kind as to furnish me with a comprehensive list of all active medications.,find_all_active_medications
Kindly compile a list of all medications that are currently active.,find_all_active_medications
Could you please provide me with a complete record of all active medications?,find_all_active_medications
I respectfully request that you generate a detailed list of all medications that are currently active.,find_all_active_medications
May I kindly ask for a comprehensive document containing all active medications?,find_all_active_medications
Please assist me in finding a complete list of all medications that are currently active.,find_all_active_medications
Could you kindly prepare a comprehensive list of all active medications?,find_all_active_medications
"I would appreciate it if you could provide me with a list of all currently active medications, if possible.",find_all_active_medications
"Please generate a document that contains all active medications, if you could be so kind.",find_all_active_medications
Could you please assist me in finding all medications that are currently active?,find_all_active_medications
I humbly request that you prepare a complete list of all medications that are currently active.,find_all_active_medications
May I request a comprehensive document that contains all active medications?,find_all_active_medications
"Please provide me with a detailed list of all medications that are currently active, if you could.",find_all_active_medications
Could you kindly furnish me with a complete list of all active medications?,find_all_active_medications
I respectfully request that you compile a comprehensive document containing all active medications.,find_all_active_medications
May I kindly ask for a complete list of all medications that are currently active?,find_all_active_medications
Please assist me in finding a detailed document that contains all active medications.,find_all_active_medications
"Could you please prepare a comprehensive list of all active medications, if possible?",find_all_active_medications
I would appreciate it if you could furnish me with a complete record of all medications that are currently active.,find_all_active_medications
Kindly generate a document that contains a complete list of all active medications.,find_all_active_medications
Please be so kind as to provide me with a comprehensive document that contains all medications that are currently active.,find_all_active_medications
Retrieve all current medications.,find_all_active_medications
Could you please retrieve a list of all currently active medications?,find_all_active_medications
I require a comprehensive list of all medications that are currently in use.,find_all_active_medications
It would be appreciated if you could locate all active medications for me.,find_all_active_medications
Can you please provide me with a complete list of medications that are currently being used?,find_all_active_medications
"I would like to see a list of all currently active medications, if possible.",find_all_active_medications
Is it possible for you to compile a list of all medications currently being used?,find_all_active_medications
Please generate a list of all active medications for me.,find_all_active_medications
I am in need of a list of all medications that are currently active.,find_all_active_medications
It would be helpful if you could find all medications that are currently in use.,find_all_active_medications
Can you please locate all active medications for me?,find_all_active_medications
"I require a list of all currently active medications, if you wouldn't mind.",find_all_active_medications
Could you please generate a list of all medications currently in use?,find_all_active_medications
I need a list of all medications that are currently active.,find_all_active_medications
Is it possible for you to provide me with a comprehensive list of all active medications?,find_all_active_medications
I would greatly appreciate it if you could locate all currently active medications.,find_all_active_medications
Please generate a list of all medications currently in use.,find_all_active_medications
Could you please retrieve a list of all active medications currently being used?,find_all_active_medications
"I am in need of a complete list of all medications that are currently active, if possible.",find_all_active_medications
It would be helpful if you could compile a list of all medications that are currently in use.,find_all_active_medications
Can you please provide me with a list of all currently active medications?,find_all_active_medications
"I require a comprehensive list of all medications currently in use, if you wouldn't mind.",find_all_active_medications
Could you please locate all active medications currently being used?,find_all_active_medications
I need a list of all medications that are currently in use.,find_all_active_medications
Is it possible for you to generate a list of all active medications for me?,find_all_active_medications
Please provide me with a list of all medications currently in use.,find_all_active_medications
I would like to see a comprehensive list of all medications that are currently active.,find_all_active_medications
Could you please find all active medications for me?,find_all_active_medications
"I am in need of a list of all currently active medications, if you could provide one.",find_all_active_medications
It would be appreciated if you could generate a list of all medications currently in use.,find_all_active_medications
Can you please retrieve a list of all active medications that are currently being used?,find_all_active_medications
"I require a list of all medications that are currently active, if possible.",find_all_active_medications
It would be helpful if you could provide me with a comprehensive list of all medications that are currently in use.,find_all_active_medications
Please locate all currently active medications for me.,find_all_active_medications
"I need a list of all medications currently in use, if you wouldn't mind.",find_all_active_medications
Could you please generate a list of all active medications currently being used?,find_all_active_medications
"I would like to see a list of all medications that are currently active, if possible.",find_all_active_medications
Is it possible for you to compile a list of all currently active medications?,find_all_active_medications
Can you please find all medications that are currently in use?,find_all_active_medications
"I am in need of a comprehensive list of all active medications, if you could provide one.",find_all_active_medications
It would be appreciated if you could provide me with a list of all medications currently in use.,find_all_active_medications
"Please retrieve a list of all active medications, if you could.",find_all_active_medications
Could you please locate all medications that are currently active?,find_all_active_medications
I need a comprehensive list of all medications currently in use.,find_all_active_medications
Can you please generate a list of all medications currently being used?,find_all_active_medications
"It would be helpful if you could find all active medications, if possible.",find_all_active_medications
Please compile a list of all currently active medications.,find_all_active_medications
Could you please provide me with a list of all medications currently in use?,find_all_active_medications
I require a complete list of all active medications.,find_all_active_medications
It would be appreciated if you could locate all medications that are currently in use and provide a list.,find_all_active_medications
Can you please generate a comprehensive list of all medications that are currently active?,find_all_active_medications
I need a list of all medications currently in use as soon as possible.,find_all_active_medications
Is it possible for you to find all active medications and create a list for me?,find_all_active_medications
Please provide me with a list of all medications that are currently active and being used.,find_all_active_medications
Could you please retrieve a complete list of all active medications?,find_all_active_medications
I am in need of a comprehensive list of all medications that are currently being used.,find_all_active_medications
It would be helpful if you could generate a list of all active medications currently in use.,find_all_active_medications
Can you please locate all medications that are currently active and provide a list?,find_all_active_medications
I require a list of all currently active medications in use.,find_all_active_medications
Please find all active medications and compile a list for me.,find_all_active_medications
Could you please provide me with a complete list of all medications that are currently in use and active?,find_all_active_medications
I would like to request a list of all currently active medications.,find_all_active_medications
It would be appreciated if you could find all medications currently in use and provide a list.,find_all_active_medications
Can you please generate a list of all medications currently being used and active?,find_all_active_medications
I need a comprehensive list of all active medications that are currently in use.,find_all_active_medications
Is it possible for you to retrieve all active medications and compile a list for me?,find_all_active_medications
Please provide me with a list of all medications that are currently active and in use.,find_all_active_medications
Could you please locate all medications that are currently in use and provide a comprehensive list?,find_all_active_medications
I am in need of a complete list of all active medications being used.,find_all_active_medications
It would be helpful if you could generate a list of all medications currently active and being used.,find_all_active_medications
Can you please find all active medications and create a list for me?,find_all_active_medications
I require a list of all medications currently in use and active.,find_all_active_medications
Please compile a comprehensive list of all active medications.,find_all_active_medications
Could you please provide me with a list of all medications that are currently active?,find_all_active_medications
I would like to see a complete list of all medications currently in use and active.,find_all_active_medications
It would be appreciated if you could locate all active medications and provide a list.,find_all_active_medications
Can you please generate a list of all medications that are currently active and being used?,find_all_active_medications
I need a comprehensive list of all medications currently in use and active as soon as possible.,find_all_active_medications
Is it possible for you to retrieve all active medications and create a list for me?,find_all_active_medications
"Please provide me with a list of all medications that are currently in use and active, if possible.",find_all_active_medications
Could you please compile a list of all medications currently active and in use?,find_all_active_medications
I am in need of a complete list of all active medications that are currently being used.,find_all_active_medications
It would be helpful if you could generate a list of all medications currently in use and active.,find_all_active_medications
Can you please find all active medications and provide a comprehensive list?,find_all_active_medications
"I require a list of all medications currently in use and active, if you could provide one.",find_all_active_medications
Please retrieve a comprehensive list of all active medications for me.,find_all_active_medications
Could you please provide me with a list of all medications that are currently in use and active at this time?,find_all_active_medications
I would like to request a complete list of all active medications currently in use.,find_all_active_medications
Can you please generate a list of all active medications that are currently being used?,find_all_active_medications
I need a comprehensive list of all medications that are currently active and in use.,find_all_active_medications
Is it possible for you to find all active medications and compile a list for me?,find_all_active_medications
Please provide me with a list of all medications that are currently being used and are active.,find_all_active_medications
Could you please locate all medications that are currently active and provide a list?,find_all_active_medications
I require a complete list of all medications that are currently in use and active.,find_all_active_medications
It would be helpful if you could generate a list of all active medications currently being used.,find_all_active_medications
Can you please retrieve all active medications and create a comprehensive list?,find_all_active_medications
I need a list of all medications that are currently in use and are active as soon as possible.,find_all_active_medications
Please compile a list of all active medications that are currently being used.,find_all_active_medications
Could you please provide me with a comprehensive list of all medications that are currently in use and active?,find_all_active_medications
I would appreciate it if you could locate and provide me with a list of all currently active medications.,find_all_active_medications
,find_all_active_medications
Discover all medications which are currently active.,find_all_active_medications
Can you locate all currently active medications?,find_all_active_medications
"I'm looking for a list of medications that are currently active, can you help me find them?",find_all_active_medications
Please provide me with a list of all active medications.,find_all_active_medications
Is there a way to identify all medications that are currently active?,find_all_active_medications
Could you assist me in finding all medications that are active at this time?,find_all_active_medications
"I need to find all medications that are currently active, could you provide me with a list?",find_all_active_medications
Can you compile a list of all currently active medications for me?,find_all_active_medications
"I would like to see a list of all medications that are active, could you help me find it?",find_all_active_medications
Is there a way to find all medications that are currently active?,find_all_active_medications
Please help me locate all active medications.,find_all_active_medications
"I'm trying to find a list of medications that are currently active, can you point me in the right direction?",find_all_active_medications
Can you give me a list of all active medications?,find_all_active_medications
Can you provide me with a list of medications that are currently active?,find_all_active_medications
Could you help me locate all currently active medications?,find_all_active_medications
"I need to find all medications that are currently active, can you assist me with that?",find_all_active_medications
Can you please help me find all active medications?,find_all_active_medications
Can you give me a list of all medications that are currently active?,find_all_active_medications
"I'm trying to find a list of all active medications, can you help me with that?",find_all_active_medications
Can you assist me in identifying all medications that are currently active?,find_all_active_medications
"I need to find all medications that are active right now, can you provide me with a list?",find_all_active_medications
Can you help me find a list of all medications that are currently active?,find_all_active_medications
Is there a way to identify all active medications currently being taken?,find_all_active_medications
Could you assist me in locating all medications that are currently active?,find_all_active_medications
"I need to compile a list of all active medications, can you help me with that?",find_all_active_medications
Can you provide me with a list of medications that are currently active?,find_all_active_medications
Can you help me locate all medications that are currently active?,find_all_active_medications
Can you tell me which medications are currently active?,find_all_active_medications
"I need to find a list of all active medications, could you help me with that?",find_all_active_medications
Can you assist me in finding all medications that are currently active?,find_all_active_medications
Could you give me a list of all medications that are currently active?,find_all_active_medications
Is there a way to identify all active medications currently being used?,find_all_active_medications
"I need to find all active medications, could you provide me with a list?",find_all_active_medications
Can you help me locate all medications that are active right now?,find_all_active_medications
Can you assist me in finding a list of all medications that are currently active?,find_all_active_medications
Could you provide me with a list of all medications that are currently active?,find_all_active_medications
Can you help me identify all active medications?,find_all_active_medications
"I need to find all medications that are currently active, can you give me a list?",find_all_active_medications
Can you tell me which medications are currently active?,find_all_active_medications
Can you provide me with a list of all active medications?,find_all_active_medications
"I'm trying to locate all active medications, can you help me with that?",find_all_active_medications
Can you give me a list of medications that are currently active?,find_all_active_medications
"I need to find all medications that are active at this time, could you help me with that?",find_all_active_medications
Is there a way to identify all medications that are currently active?,find_all_active_medications
Can you assist me in finding a list of all active medications?,find_all_active_medications
Can you help me locate all medications that are currently active and in use?,find_all_active_medications
Could you provide me with a list of all medications that are currently active and being used?,find_all_active_medications
Can you help me find a comprehensive list of all medications that are currently active?,find_all_active_medications
"I would like to obtain a list of all medications that are currently active, can you assist me with that?",find_all_active_medications
Can you help me find all medications that are currently active in use by the patient?,find_all_active_medications
"I need to find all medications that are currently active, can you provide me with a list that is up-to-date?",find_all_active_medications
Is there a way to identify all medications that are currently active and being taken by the patient?,find_all_active_medications
Can you help me locate all medications that are currently active in the patient's medication history?,find_all_active_medications
Could you provide me with a list of all medications that are currently active in the patient's medication profile?,find_all_active_medications
Can you assist me in identifying all active medications prescribed to the patient?,find_all_active_medications
"I'm looking for a list of all medications that are currently active for the patient, can you help me find it?",find_all_active_medications
Can you help me find all medications that are currently active and are part of the patient's current treatment plan?,find_all_active_medications
"I need to find all medications that are currently active and being taken by the patient, could you help me with that?",find_all_active_medications
Is there a way to identify all medications that are currently active and have been prescribed to the patient?,find_all_active_medications
Can you provide me with a list of all medications that are currently active and are part of the patient's medication regimen?,find_all_active_medications
Can you help me locate all medications that are currently active and are included in the patient's medication list?,find_all_active_medications
