sentence,class
Observe the particulars of the medication.,view_drug_details
Take a look at the specifics of the drug.,view_drug_details
Inspect the characteristics of the medication.,view_drug_details
Analyze the attributes of the drug.,view_drug_details
Examine the particulars of the drug.,view_drug_details
Review the details of the medication.,view_drug_details
Study the characteristics of the drug.,view_drug_details
Peruse the particulars of the medication.,view_drug_details
Scrutinize the specifics of the drug.,view_drug_details
Evaluate the details of the medication.,view_drug_details
Survey the characteristics of the drug.,view_drug_details
Explore the particulars of the medication.,view_drug_details
Delve into the specifics of the drug.,view_drug_details
Look over the details of the medication.,view_drug_details
Investigate the characteristics of the drug.,view_drug_details
Consider the particulars of the medication.,view_drug_details
Assess the specifics of the drug.,view_drug_details
Check out the details of the medication.,view_drug_details
Examine closely the characteristics of the drug.,view_drug_details
Take a glance at the particulars of the medication.,view_drug_details
Review the specifics of the drug.,view_drug_details
Study in detail the details of the medication.,view_drug_details
Analyze the characteristics of the drug.,view_drug_details
Observe closely the particulars of the medication.,view_drug_details
Inspect the specifics of the drug.,view_drug_details
Examine with care the details of the medication.,view_drug_details
Explore thoroughly the characteristics of the drug.,view_drug_details
Peruse the specifics of the medication.,view_drug_details
Scrutinize the particulars of the drug.,view_drug_details
Evaluate the characteristics of the medication.,view_drug_details
Survey in detail the specifics of the drug.,view_drug_details
Delve into the details of the medication.,view_drug_details
Look over the characteristics of the drug.,view_drug_details
Investigate the specifics of the medication.,view_drug_details
Consider carefully the particulars of the drug.,view_drug_details
Assess the details of the medication.,view_drug_details
Check out the characteristics of the drug.,view_drug_details
Examine the specifics of the medication with precision.,view_drug_details
Take a close look at the particulars of the drug.,view_drug_details
Review the details of the medication carefully.,view_drug_details
Study the characteristics of the drug thoroughly.,view_drug_details
Analyze the particulars of the medication with attention.,view_drug_details
Observe the specifics of the drug with scrutiny.,view_drug_details
Inspect the details of the medication meticulously.,view_drug_details
Examine the characteristics of the drug in depth.,view_drug_details
Explore the particulars of the medication comprehensively.,view_drug_details
Peruse the specifics of the drug meticulously.,view_drug_details
Scrutinize the details of the medication with care.,view_drug_details
Evaluate the characteristics of the drug meticulously.,view_drug_details
Survey the particulars of the medication thoroughly.,view_drug_details
